country,lowest_population,lowest_population_year,highest_population,highest_population_year,percent_change_2020_2100
Afghanistan,38054941,2020,72356276,2085,85.02
Albania,1657307,2100,2946992,2025,-43.67
Algeria,43333255,2020,62814647,2090,44.36
Andorra,63125,2100,78550,2040,-18.21
Angola,32827401,2020,172860941,2100,426.58
Antigua and Barbuda,105110,2020,127254,2070,16.98
Argentina,45510399,2020,58560778,2080,26.89
Armenia,1848572,2100,2938679,2020,-37.1
Australia,25398177,2020,41834586,2100,64.71
Austria,8189358,2100,8970477,2035,-6.75
Azerbaijan,9558619,2100,11049380,2045,-5.36
Bahamas,406839,2020,483291,2070,14.94
Bahrain,1697765,2020,2440312,2070,32.31
Bangladesh,169775309,2020,202902150,2055,2.22
Barbados,255126,2100,290010,2030,-11.28
Belarus,7605140,2100,9415431,2020,-19.23
Belgium,11619972,2020,13022033,2100,12.07
Belize,398007,2020,688454,2095,72.84
Benin,12122985,2020,44325028,2100,265.63
Bhutan,835245,2020,999896,2055,2.69
Bolivia,11543982,2020,18056386,2090,55.46
Bosnia and Herzegovina,2217029,2100,3498210,2020,-36.62
Botswana,2415766,2020,3805860,2090,56.21
Brazil,190423052,2100,232724279,2045,-10.96
Brunei,444519,2020,539860,2055,9.47
Bulgaria,3849979,2100,6940527,2020,-44.53
Burkina Faso,20903345,2020,81722867,2100,290.96
Burundi,11939227,2020,54513584,2100,356.59
Cambodia,16715508,2020,23458459,2075,36.12
Cameroon,25958184,2020,91640537,2100,253.03
Canada,37603205,2020,51621993,2100,37.28
Cape Verde,567348,2020,767399,2070,25.86
Central African Republic,4920889,2020,14055261,2100,185.62
Chad,16285093,2020,61690672,2100,278.82
Chile,18472639,2020,20746934,2055,1.54
China,1020665216,2100,1441181813,2030,-28.35
Colombia,44826403,2100,54833764,2045,-10.74
Comoros,869601,2020,2161085,2100,148.51
"Congo, Dem. Rep.",89505201,2020,378975244,2100,323.41
"Congo, Rep.",5686917,2020,23576569,2100,314.58
Costa Rica,5027693,2100,5784184,2055,-0.33
Cote d'Ivoire,26171750,2020,103563352,2100,295.71
Croatia,2517591,2100,4115947,2020,-38.83
Cuba,8119498,2100,11513023,2025,-29.37
Cyprus,1207343,2020,1399397,2065,9.6
Czech Republic,8892165,2100,10633424,2020,-16.38
Denmark,5796800,2020,6814919,2100,17.56
Djibouti,999899,2020,1352536,2065,26.39
Dominica,56914,2100,77883,2035,-24.17
Dominican Republic,11108358,2020,13422524,2060,9.05
Ecuador,17335642,2020,24876794,2080,40.29
Egypt,102941484,2020,198748056,2100,93.07
El Salvador,5404065,2100,6997410,2050,-16.59
Equatorial Guinea,1406280,2020,4740885,2100,237.12
Eritrea,5432216,2020,14781199,2100,172.1
Estonia,890759,2100,1300559,2020,-31.51
Ethiopia,112759070,2020,249529919,2100,121.29
Fiji,846454,2100,999087,2045,-8.48
Finland,5580127,2020,6138570,2100,10.01
France,65721165,2020,74241659,2100,12.96
Gabon,2151289,2020,4996323,2100,132.25
Gambia,2293493,2020,7179802,2100,213.05
Georgia,2540252,2100,3898529,2020,-34.84
Germany,71033283,2100,82540450,2020,-13.94
Ghana,30733755,2020,76754605,2100,149.74
Greece,7422817,2100,11102572,2020,-33.14
Grenada,70258,2100,112255,2035,-35.72
Guatemala,17910812,2020,32172157,2090,78.78
Guinea,13750826,2020,48326902,2100,251.45
Guinea-Bissau,2000694,2020,5900589,2100,194.93
Guyana,588127,2100,835119,2040,-25.63
Haiti,11371185,2020,14280338,2060,12.92
Holy See,795,2035,815,2055,-0.37
Honduras,9719265,2020,14164860,2075,38.25
"Hong Kong, China",7547652,2020,8298640,2100,9.95
Hungary,6388053,2100,9621254,2020,-33.6
Iceland,343228,2020,395253,2070,11.48
India,1383197753,2020,1678568111,2060,9.64
Indonesia,272222987,2020,324706159,2060,12.42
Iran,72462296,2100,93553454,2050,-13.31
Iraq,41502885,2020,155556001,2100,274.81
Ireland,4887992,2020,6388798,2100,30.7
Israel,8713559,2020,17124303,2100,96.52
Italy,47819324,2100,59132073,2020,-19.13
Jamaica,1435502,2100,2934223,2025,-50.72
Japan,84532388,2100,126495647,2020,-33.17
Jordan,10208662,2020,17319499,2100,69.65
Kazakhstan,18777139,2020,25743864,2095,37.07
Kenya,53491697,2020,142123899,2100,165.69
Kiribati,122439,2020,243125,2100,98.57
North Korea,23581172,2100,27034528,2040,-8.74
South Korea,38707134,2100,52805846,2035,-24.85
Kuwait,4302875,2020,6231155,2100,44.81
Kyrgyz Republic,6301718,2020,8897809,2090,40.47
Lao,7164822,2020,9339862,2060,14.45
Latvia,1149325,2100,1892993,2020,-39.29
Lebanon,4349738,2100,6019795,2020,-27.74
Lesotho,2322217,2020,3904989,2100,68.16
Liberia,5103853,2020,17800502,2100,248.77
Libya,6662173,2020,8175198,2055,11.55
Liechtenstein,38645,2020,46075,2100,19.23
Lithuania,1904002,2100,2852478,2020,-33.25
Luxembourg,603944,2020,1004737,2100,66.36
"Macedonia, FYR",1467059,2100,2088336,2025,-29.74
Madagascar,27690798,2020,98001584,2100,253.91
Malawi,20283691,2020,75710602,2100,273.26
Malaysia,32869323,2020,43697589,2070,27.17
Maldives,458909,2020,586619,2060,8.19
Mali,20284180,2020,83207100,2100,310.21
Malta,352199,2100,439963,2030,-18.92
Marshall Islands,53251,2020,74087,2085,35.07
Mauritania,4783767,2020,15518953,2100,224.41
Mauritius,931656,2100,1286934,2030,-26.88
Mexico,133870027,2020,167249641,2065,13.16
"Micronesia, Fed. Sts.",107774,2020,130594,2060,2.65
